id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon,alt,theta_x,theta_y,theta_z
111506340,S20251107_154804_OBS1_1,"2025-11-09 09:51:09.665000",23371.6,-10317.67,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111505920,S20251107_154804_OBS1_1,"2025-11-09 09:51:10.468000",23424.99,-10277.63,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111505500,S20251107_171944_OBS2_3,"2025-11-09 09:51:11.346000",27762.95,5485.85,34690.34,0.0,0.0,0.0,0.0,-0.81,1.56
111506400,S20251107_154804_OBS1_1,"2025-11-09 09:51:11.668000",23358.25,-10304.33,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111505980,S20251107_154804_OBS1_1,"2025-11-09 09:51:12.467000",23398.29,-10290.98,37560.07,0.0,0.0,0.0,0.13,2.19,0.0
111506160,S20251107_171944_OBS2_1,"2025-11-09 09:51:13.624000",31420.18,10878.27,32861.72,0.0,0.0,0.0,0.0,-0.81,1.56
111506460,S20251107_154804_OBS1_1,"2025-11-09 09:51:13.668000",23398.29,-10344.37,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111506040,S20251107_154804_OBS1_1,"2025-11-09 09:51:14.470000",23384.95,-10290.98,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111505560,S20251107_171944_OBS2_3,"2025-11-09 09:51:15.176000",27749.6,5499.2,34650.3,0.0,0.0,0.0,0.0,-0.81,1.56
111506520,S20251107_154804_OBS1_1,"2025-11-09 09:51:15.667000",23318.21,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111506100,S20251107_154804_OBS1_1,"2025-11-09 09:51:16.470000",23398.29,-10317.67,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111506220,S20251107_171944_OBS2_1,"2025-11-09 09:51:17.445000",31393.49,10824.88,32928.46,0.0,0.0,0.0,0.0,-0.81,1.56
111506580,S20251107_154804_OBS1_1,"2025-11-09 09:51:17.669000",23371.6,-10357.72,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111506880,S20251107_171944_OBS2_3,"2025-11-09 09:51:19.390000",27762.95,5472.5,34650.3,0.0,0.0,0.0,0.0,-0.81,1.56
111506640,S20251107_154804_OBS1_1,"2025-11-09 09:51:19.668000",23424.99,-10304.33,37466.63,0.0,0.0,0.0,0.13,2.19,0.0
111507120,S20251107_154804_OBS1_3,"2025-11-09 09:51:20.792000",28323.54,226.91,31353.45,0.0,0.0,0.0,0.13,2.19,0.0
111506280,S20251107_171944_OBS2_1,"2025-11-09 09:51:21.267000",31366.79,10811.53,32848.38,0.0,0.0,0.0,0.0,-0.81,1.56
111506700,S20251107_154804_OBS1_1,"2025-11-09 09:51:21.671000",23358.25,-10290.98,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111507180,S20251107_154804_OBS1_3,"2025-11-09 09:51:22.792000",28390.28,173.52,31340.1,0.0,0.0,0.0,0.13,2.19,0.0
111506940,S20251107_171944_OBS2_3,"2025-11-09 09:51:23.203000",27802.99,5472.5,34663.64,0.0,0.0,0.0,0.0,-0.81,1.56
111506760,S20251107_154804_OBS1_1,"2025-11-09 09:51:23.670000",23371.6,-10264.28,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111507240,S20251107_154804_OBS1_3,"2025-11-09 09:51:24.796000",28390.28,186.87,31353.45,0.0,0.0,0.0,0.13,2.19,0.0
111506820,S20251107_154804_OBS1_1,"2025-11-09 09:51:25.670000",23371.6,-10277.63,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111507300,S20251107_154804_OBS1_3,"2025-11-09 09:51:26.809000",28376.94,120.13,31366.79,0.0,0.0,0.0,0.13,2.19,0.0
111507000,S20251107_171944_OBS2_3,"2025-11-09 09:51:27.023000",27816.34,5512.55,34730.38,0.0,0.0,0.0,0.0,-0.81,1.56
111507360,S20251107_154804_OBS1_3,"2025-11-09 09:51:28.794000",28430.33,146.82,31366.79,0.0,0.0,0.0,0.13,2.19,0.0
111507660,S20251107_171944_OBS2_3,"2025-11-09 09:51:28.941000",27736.25,5485.85,34663.64,0.0,0.0,0.0,0.0,-0.81,1.56
111507420,S20251107_154804_OBS1_3,"2025-11-09 09:51:30.795000",28296.85,320.34,31340.1,0.0,0.0,0.0,0.13,2.19,0.0
111507060,S20251107_171944_OBS2_3,"2025-11-09 09:51:30.851000",27816.34,5539.24,34690.34,0.0,0.0,0.0,0.0,-0.81,1.56
111508080,S20251107_154804_OBS1_1,"2025-11-09 09:51:30.970000",23411.64,-10250.93,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111507720,S20251107_171944_OBS2_3,"2025-11-09 09:51:32.757000",27722.9,5445.81,34650.3,0.0,0.0,0.0,0.0,-0.81,1.56
111507480,S20251107_154804_OBS1_3,"2025-11-09 09:51:32.796000",28376.94,213.56,31340.1,0.0,0.0,0.0,0.13,2.19,0.0
111508140,S20251107_154804_OBS1_1,"2025-11-09 09:51:32.972000",23358.25,-10304.33,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111507840,S20251107_171944_OBS2_3,"2025-11-09 09:51:34.672000",27816.34,5525.89,34676.99,0.0,0.0,0.0,0.0,-0.81,1.56
111507540,S20251107_154804_OBS1_3,"2025-11-09 09:51:34.796000",28416.98,186.87,31326.75,0.0,0.0,0.0,0.13,2.19,0.0
111508200,S20251107_154804_OBS1_1,"2025-11-09 09:51:34.971000",23384.95,-10357.72,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111507780,S20251107_171944_OBS2_3,"2025-11-09 09:51:36.591000",27762.95,5485.85,34703.69,0.0,0.0,0.0,0.0,-0.81,1.56
111507600,S20251107_154804_OBS1_3,"2025-11-09 09:51:36.811000",28390.28,226.91,31326.75,0.0,0.0,0.0,0.13,2.19,0.0
111508260,S20251107_154804_OBS1_1,"2025-11-09 09:51:36.975000",23398.29,-10304.33,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111507900,S20251107_171944_OBS2_3,"2025-11-09 09:51:38.491000",27816.34,5499.2,34690.34,0.0,0.0,0.0,0.0,-0.81,1.56
111508320,S20251107_154804_OBS1_1,"2025-11-09 09:51:38.974000",23411.64,-10317.67,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111508800,S20251107_154804_OBS1_1,"2025-11-09 09:51:40.174000",23384.95,-10277.63,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111508380,S20251107_154804_OBS1_1,"2025-11-09 09:51:40.973000",23384.95,-10264.28,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111508860,S20251107_154804_OBS1_1,"2025-11-09 09:51:42.173000",23451.68,-10304.33,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111507960,S20251107_171944_OBS2_3,"2025-11-09 09:51:42.318000",27776.29,5525.89,34703.69,0.0,0.0,0.0,0.0,-0.81,1.56
111508440,S20251107_154804_OBS1_1,"2025-11-09 09:51:42.976000",23358.25,-10237.59,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111508920,S20251107_154804_OBS1_1,"2025-11-09 09:51:44.176000",23371.6,-10264.28,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111508620,S20251107_171944_OBS2_1,"2025-11-09 09:51:44.396000",31380.14,10824.88,32835.03,0.0,0.0,0.0,0.0,-0.81,1.56
111508500,S20251107_154804_OBS1_1,"2025-11-09 09:51:44.974000",23398.29,-10237.59,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111508020,S20251107_171944_OBS2_3,"2025-11-09 09:51:46.141000",27789.64,5539.24,34717.04,0.0,0.0,0.0,0.0,-0.81,1.56
111508980,S20251107_154804_OBS1_1,"2025-11-09 09:51:46.175000",23371.6,-10250.93,37560.07,0.0,0.0,0.0,0.13,2.19,0.0
111508560,S20251107_154804_OBS1_1,"2025-11-09 09:51:46.990000",23384.95,-10250.93,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111509040,S20251107_154804_OBS1_1,"2025-11-09 09:51:48.181000",23371.6,-10277.63,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111508680,S20251107_171944_OBS2_1,"2025-11-09 09:51:48.218000",31406.84,10838.23,32794.98,0.0,0.0,0.0,0.0,-0.81,1.56
111509100,S20251107_154804_OBS1_1,"2025-11-09 09:51:50.176000",23398.29,-10290.98,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111509340,S20251107_171944_OBS2_1,"2025-11-09 09:51:50.511000",31393.49,10811.53,32835.03,0.0,0.0,0.0,0.0,-0.81,1.56
111509580,S20251107_154804_OBS1_1,"2025-11-09 09:51:51.376000",23411.64,-10304.33,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111508740,S20251107_171944_OBS2_1,"2025-11-09 09:51:52.043000",31380.14,10864.92,32915.11,0.0,0.0,0.0,0.0,-0.81,1.56
111509160,S20251107_154804_OBS1_1,"2025-11-09 09:51:52.175000",23344.9,-10250.93,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111509640,S20251107_154804_OBS1_1,"2025-11-09 09:51:53.382000",23398.29,-10331.02,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111509220,S20251107_154804_OBS1_1,"2025-11-09 09:51:54.184000",23384.95,-10357.72,37626.8,0.0,0.0,0.0,0.13,2.19,0.0
111509400,S20251107_171944_OBS2_1,"2025-11-09 09:51:54.341000",31380.14,10811.53,32808.33,0.0,0.0,0.0,0.0,-0.81,1.56
111509700,S20251107_154804_OBS1_1,"2025-11-09 09:51:55.383000",23411.64,-10290.98,37426.59,0.0,0.0,0.0,0.13,2.19,0.0
111509280,S20251107_154804_OBS1_1,"2025-11-09 09:51:56.185000",23398.29,-10317.67,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111509760,S20251107_154804_OBS1_1,"2025-11-09 09:51:57.392000",23358.25,-10277.63,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111509460,S20251107_171944_OBS2_1,"2025-11-09 09:51:58.166000",31420.18,10851.58,32888.42,0.0,0.0,0.0,0.0,-0.81,1.56
111509820,S20251107_154804_OBS1_1,"2025-11-09 09:51:59.381000",23371.6,-10250.93,37546.72,0.0,0.0,0.0,0.13,2.19,0.0
111510120,S20251107_171944_OBS2_1,"2025-11-09 09:52:00.282000",31420.18,10824.88,32808.33,0.0,0.0,0.0,0.0,-0.81,1.56
111509880,S20251107_154804_OBS1_1,"2025-11-09 09:52:01.385000",23358.25,-10250.93,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111510540,S20251107_154804_OBS1_1,"2025-11-09 09:52:01.483000",23384.95,-10277.63,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111509520,S20251107_171944_OBS2_1,"2025-11-09 09:52:02.001000",31380.14,10811.53,32821.68,0.0,0.0,0.0,0.0,-0.81,1.56
111509940,S20251107_154804_OBS1_1,"2025-11-09 09:52:03.383000",23398.29,-10250.93,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111510600,S20251107_154804_OBS1_1,"2025-11-09 09:52:03.482000",23411.64,-10237.59,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111510180,S20251107_171944_OBS2_1,"2025-11-09 09:52:04.101000",31406.84,10824.88,32875.07,0.0,0.0,0.0,0.0,-0.81,1.56
111510000,S20251107_154804_OBS1_1,"2025-11-09 09:52:05.383000",23384.95,-10264.28,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111510660,S20251107_154804_OBS1_1,"2025-11-09 09:52:05.483000",23384.95,-10277.63,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111510300,S20251107_171944_OBS2_1,"2025-11-09 09:52:05.822000",31393.49,10824.88,32821.68,0.0,0.0,0.0,0.0,-0.81,1.56
111510060,S20251107_154804_OBS1_1,"2025-11-09 09:52:07.397000",23398.29,-10250.93,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111510720,S20251107_154804_OBS1_1,"2025-11-09 09:52:07.487000",23371.6,-10317.67,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111510240,S20251107_171944_OBS2_1,"2025-11-09 09:52:07.932000",31393.49,10838.23,32941.81,0.0,0.0,0.0,0.0,-0.81,1.56
111510780,S20251107_154804_OBS1_1,"2025-11-09 09:52:09.482000",23451.68,-10317.67,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111510360,S20251107_171944_OBS2_1,"2025-11-09 09:52:09.647000",31380.14,10811.53,32848.38,0.0,0.0,0.0,0.0,-0.81,1.56
111511260,S20251107_154804_OBS1_1,"2025-11-09 09:52:10.784000",23411.64,-10331.02,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111510840,S20251107_154804_OBS1_1,"2025-11-09 09:52:11.482000",23398.29,-10277.63,37453.29,0.0,0.0,0.0,0.13,2.19,0.0
111511320,S20251107_154804_OBS1_1,"2025-11-09 09:52:12.783000",23398.29,-10317.67,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111510420,S20251107_171944_OBS2_1,"2025-11-09 09:52:13.469000",31406.84,10798.19,32821.68,0.0,0.0,0.0,0.0,-0.81,1.56
